id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,instrumentalness,popularity,release_decade,mood_tags,language,explicit,duration_sec
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.05,78,2020,upbeat;sunny;feelgood,english,0,198
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.85,65,2020,mellow;study;calm,instrumental,0,165
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.08,54,2010,driving;gritty;powerful,english,0,231
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.88,60,2020,rainy;sleepy;calm,instrumental,0,174
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.03,82,2020,hype;workout;powerful,english,1,210
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.92,40,2010,dreamy;spacey;calm,instrumental,0,288
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.75,48,2000,warm;smooth;mellow,english,0,252
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.70,71,2010,retro;neon;brooding,english,0,240
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.90,69,2020,study;steady;calm,instrumental,0,180
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.10,63,2010,sunny;breezy;feelgood,english,0,205
11,Concrete Kings,Cassette Crown,hip-hop,energetic,0.80,96,0.55,0.85,0.08,0.05,85,2020,hype;bold;street,english,1,189
12,Neon Horizon,Pulsewave,edm,euphoric,0.95,128,0.80,0.90,0.03,0.55,88,2020,festival;uplifting;hype,english,0,222
13,Winter Nocturne,Elise Moreau,classical,melancholy,0.20,66,0.30,0.15,0.95,0.95,35,1990,somber;tender;cinematic,instrumental,0,264
14,Iron Verdict,Ashfall,metal,aggressive,0.98,168,0.35,0.45,0.02,0.06,44,2010,heavy;furious;dark,english,1,246
15,Velvet Hours,Marlow Sage,r&b,romantic,0.50,92,0.70,0.68,0.40,0.08,72,2020,sensual;smooth;warm,english,0,217
16,Dusty Backroads,The Wildpines,country,nostalgic,0.45,100,0.60,0.50,0.75,0.07,57,2000,wistful;homey;warm,english,0,228
17,Island Time,Sunroots,reggae,uplifting,0.60,76,0.85,0.72,0.45,0.12,50,1990,sunny;laidback;feelgood,english,0,201
18,Fuego Nocturno,Calle Ambar,latin,passionate,0.85,110,0.78,0.90,0.25,0.10,80,2020,fiery;dance;sensual,spanish,0,213
